Nom;Sexe;Naissance;Poids;Taille;Cote;Niveau;Club
Odile Rey;F;2007-06-09;64.0;172;tribord;competiteur;
Valerie Laurent;F;2008-09-08;55.0;164;none;competiteur;
Dominique David;F;1994-07-26;71.5;172;tribord;competiteur;
Jade Denis;F;1997-12-19;64.5;169;babord;competiteur;
Pauline Payet;F;1983-10-25;68.1;169;tribord;competiteur;
Lola Morel;F;1986-03-02;67.3;163;babord;competiteur;
Annie Klein;F;2009-12-23;62.5;172;tribord;competiteur;
Lina Francois;F;2004-07-14;59.5;169;babord;competiteur;
Helene Barbier;F;2007-06-30;59.6;165;babord;competiteur;
Helene Adam;F;2000-02-02;59.0;174;tribord;competiteur;
Martine Renaud;F;2009-11-30;56.5;165;tribord;competiteur;
Ines Leclerc;F;2005-06-21;65.9;170;tribord;competiteur;
Jade Laurent;F;1991-05-22;54.7;163;babord;competiteur;
Jade Blanc;F;1987-09-05;61.9;172;tribord;competiteur;
Elise Lemoine;F;2009-05-03;55.3;167;babord;competiteur;
Alice Roux;F;2001-12-08;57.2;159;tribord;competiteur;
Margaux Moulin;F;1997-11-27;52.9;164;babord;competiteur;
Chloe Guillaume;F;1984-07-06;61.7;168;tribord;competiteur;
Romain Guillaume;M;2003-05-01;71.3;177;babord;competiteur;
Romain Moreau;M;1985-10-19;78.7;176;tribord;competiteur;
Antoine Dufour;M;1998-01-12;65.6;173;babord;competiteur;
Tom Fabre;M;2007-04-17;72.1;184;none;competiteur;
Raphael Boyer;M;1994-05-06;80.2;178;tribord;competiteur;
Maxime Vasseur;M;1988-06-10;73.9;177;tribord;competiteur;
Alain Muller;M;1996-12-16;76.6;175;babord;competiteur;
Francois Blanchard;M;1989-06-06;82.3;179;none;competiteur;
Adrien Philippe;M;1989-07-25;68.5;176;babord;competiteur;
Nolan Rolland;M;1987-04-08;81.7;180;babord;competiteur;
Maxime Henry;M;1995-12-01;68.0;172;babord;competiteur;
Lucas Renou;M;2003-12-23;68.8;175;tribord;competiteur;
Paul Gaillard;M;1994-11-25;71.4;181;none;competiteur;
Thomas Blanchard;M;2001-02-17;77.7;179;babord;competiteur;
Daniel Andre;M;1995-03-29;73.4;181;babord;competiteur;
Mael Leroux;M;2009-02-17;74.8;179;babord;competiteur;
Alain Noel;M;2003-05-19;85.0;183;none;competiteur;
Alexandre Meunier;M;1998-05-06;70.4;171;tribord;competiteur;
Adrien Bodin;M;1990-05-17;81.6;178;babord;competiteur;
Daniel Garnier;M;2002-09-23;79.7;187;babord;competiteur;
Raphael Noel;M;2007-04-29;66.2;171;tribord;competiteur;
Francois Adam;M;1988-10-27;75.5;183;tribord;competiteur;
Bernard Jean;M;1986-02-22;75.7;176;babord;competiteur;
Alexandre Tessier;M;1985-07-25;87.8;180;none;competiteur;
Jules Dupuy;M;1989-10-27;75.8;181;tribord;competiteur;
Hugo Rolland;M;1993-05-14;74.5;180;babord;competiteur;
Bernard Philippe;M;1997-02-23;77.7;186;tribord;competiteur;
Quentin Schmitt;M;2002-09-01;74.2;177;babord;competiteur;
Thierry Rey;M;2009-03-14;85.8;179;tribord;competiteur;
Daniel Henry;M;1976-01-09;78.0;174;tribord;loisir;
Jules Louis;M;1963-02-25;72.1;176;tribord;loisir;
Raphael Langlois;M;1965-09-14;80.2;173;none;loisir;
Benjamin Leclerc;M;1957-11-03;73.1;178;babord;loisir;
Olivier Jacquet;M;1972-11-25;80.4;181;babord;loisir;
Enzo Roussel;M;1971-07-09;80.5;181;babord;loisir;
Simon Fleury;M;1985-07-16;76.9;180;babord;loisir;
Paul Denis;M;1975-09-07;65.3;168;babord;loisir;
Laurent Royer;M;1985-09-07;72.5;175;tribord;loisir;
Paul Fournier;M;1980-02-26;73.8;171;tribord;loisir;
Jules Moreau;M;1983-01-14;66.3;173;tribord;loisir;
Jacques Roche;M;1963-07-13;77.3;176;tribord;loisir;
Antoine Gauthier;M;1969-01-04;86.0;178;none;loisir;
Alexandre Garnier;M;1974-05-14;79.0;182;tribord;loisir;
Alexandre Bourgeois;M;1980-05-04;77.2;173;tribord;loisir;
Sacha Schmitt;M;1987-03-12;71.0;174;none;loisir;
Nicolas Petit;M;1968-01-13;71.8;171;tribord;loisir;
Yves Brunet;M;1982-08-25;73.4;179;babord;loisir;
Patrick Picard;M;1988-05-17;85.7;185;tribord;loisir;
Mathis Muller;M;1971-04-19;76.4;178;none;loisir;
Michel Brun;M;1976-09-21;70.5;170;babord;loisir;
Clement Boyer;M;1990-04-27;74.0;181;babord;loisir;
Pascal Roux;M;1974-09-24;74.7;178;none;loisir;
Daniel Charpentier;M;1954-01-05;71.8;176;tribord;loisir;
Arthur Gautier;M;1968-03-20;67.0;165;none;loisir;
Mathis Carpentier;M;1963-09-15;70.6;175;babord;loisir;
Nathan Clement;M;1975-10-04;85.7;184;babord;loisir;
Henri Dumont;M;1968-10-26;84.5;178;none;loisir;
Yves Meunier;M;1960-11-07;77.0;179;tribord;loisir;
Bernard Leroy;M;1979-03-07;85.2;184;tribord;loisir;
Adam Leclerc;M;1974-11-18;72.8;178;none;loisir;
Adrien Mathieu;M;1987-06-09;79.9;186;tribord;loisir;
Benjamin Lecomte;M;1974-02-25;66.8;171;babord;loisir;
Maxime Dumas;M;1967-01-27;83.5;183;babord;loisir;
Raphael Denis;M;1971-03-17;62.7;168;babord;loisir;
Bernard Rey;M;1957-06-03;67.6;172;none;loisir;
Louis Rey;M;1986-03-31;69.3;171;babord;loisir;
Yves Herve;M;1962-11-20;64.4;169;babord;loisir;
Mathis Pons;M;1975-05-16;78.4;171;tribord;loisir;
Clement Robert;M;1955-04-30;73.5;167;babord;loisir;
Arthur Olivier;M;1977-02-06;77.3;178;none;loisir;
Thomas Denis;M;1980-09-01;64.3;165;tribord;loisir;
Pierre Jacquet;M;1983-12-12;76.6;175;babord;loisir;
Gabriel Gautier;M;1953-10-27;68.2;173;tribord;loisir;
Nicolas Dupuis;M;1983-02-17;75.3;175;babord;loisir;
Nicolas Vidal;M;1968-06-16;76.9;180;none;loisir;
Patrick Moulin;M;1987-12-25;72.5;176;tribord;loisir;
Julien Guillaume;M;1973-09-14;73.3;171;tribord;loisir;
Mael Renou;M;1968-02-14;78.1;176;none;loisir;
Patrick Bodin;M;1962-01-08;80.2;172;none;loisir;
Francois Arnaud;M;1981-12-05;82.0;176;babord;loisir;
Paul Renaud;M;1968-08-04;76.6;176;tribord;loisir;
Daniel Picard;M;1984-08-11;62.3;168;tribord;loisir;
Simon Lacroix;M;1986-10-05;63.7;165;tribord;loisir;
Thomas Langlois;M;1962-03-04;73.9;176;tribord;loisir;
Pascal Lecomte;M;1975-01-14;72.6;175;babord;loisir;
Bernard Pons;M;1951-03-30;74.5;181;babord;loisir;
Julien Berger;M;1962-01-20;66.3;169;none;loisir;
Michel Fleury;M;1981-12-10;72.9;170;babord;loisir;
Philippe Mercier;M;1968-05-06;72.1;175;babord;loisir;
Benjamin Gautier;M;1985-11-26;83.0;189;tribord;loisir;
Nicolas David;M;1980-03-30;82.9;186;tribord;loisir;
Jules Colin;M;1979-05-02;66.0;171;babord;loisir;
Romain Morin;M;1973-06-24;80.1;188;babord;loisir;
Alain Roger;M;1990-10-10;74.1;186;babord;loisir;
Mael Clement;M;1969-06-05;70.4;174;babord;loisir;
Alain Garnier;M;1977-07-01;80.6;176;tribord;loisir;
Baptiste Girard;M;1980-08-07;89.6;179;tribord;loisir;
Gabriel Guerin;M;1969-07-17;63.2;168;none;loisir;
Paul Thomas;M;1990-04-04;79.9;181;tribord;loisir;
Francois Payet;M;1963-03-22;70.0;175;tribord;loisir;
Hugo Bernard;M;1979-10-31;62.7;167;none;loisir;
Olivier Roux;M;1975-10-07;66.3;169;babord;loisir;
Laurent Dupuy;M;1987-10-15;81.9;184;babord;loisir;
Olivier Arnaud;M;1959-06-05;68.3;177;babord;loisir;
Lucas Faure;M;1987-12-06;77.8;187;tribord;loisir;
Benjamin Louis;M;1981-09-06;73.2;179;babord;loisir;
Noah Martin;M;1989-01-08;84.8;184;tribord;loisir;
Romain Brun;M;1974-03-09;69.4;174;none;loisir;
Ethan Rey;M;1984-09-07;70.4;174;babord;loisir;
Adrien Benoit;M;1977-05-24;73.6;179;none;loisir;
Bernard Maillard;M;1981-02-11;65.8;169;none;loisir;
Leo Durand;M;1968-11-26;80.0;175;none;loisir;
Simon Moreau;M;1985-02-12;66.6;175;babord;loisir;
Maxime Vincent;M;1968-09-08;88.5;185;tribord;loisir;
Tom Guillot;M;1969-11-01;72.5;171;tribord;loisir;
Nathan Vincent;M;1966-10-21;76.4;176;tribord;loisir;
Jules Riviere;M;1986-08-21;72.6;174;babord;loisir;
Patrick Fontaine;M;1964-11-06;72.1;173;none;loisir;
Jules Boyer;M;1970-04-13;74.1;171;babord;loisir;
Michel Tessier;M;1984-04-28;67.8;173;tribord;loisir;
Raphael Lemaire;M;1976-03-19;82.0;182;babord;loisir;
Benjamin Lemaire;M;1966-08-05;79.8;171;tribord;loisir;
Raphael Dubois;M;1987-02-08;79.8;184;babord;loisir;
Raphael Giraud;M;1983-09-30;69.6;170;none;loisir;
Nicolas Bertrand;M;1976-03-22;70.0;174;tribord;loisir;
Paul Fleury;M;1973-09-04;84.6;181;babord;loisir;
Adrien Gros;M;1977-03-23;72.6;172;babord;loisir;
Gabriel Brunet;M;1960-09-16;76.2;179;babord;loisir;
Alain Dumas;M;1979-06-28;86.7;186;tribord;loisir;
Adrien Olivier;M;1956-12-02;76.0;182;none;loisir;
Hugo Gros;M;1977-07-13;83.2;182;none;loisir;
Michel Boucher;M;1988-01-20;77.2;182;none;loisir;
Antoine Masson;M;1958-11-24;78.6;178;tribord;loisir;
Baptiste Francois;M;1966-02-11;77.1;177;none;loisir;
Antoine Langlois;M;1972-03-23;81.3;178;tribord;loisir;
Nolan Boucher;M;1952-08-18;69.8;172;none;loisir;
Theo Simon;M;1976-05-27;79.8;179;babord;loisir;
Mael Fournier;M;1977-10-10;76.0;181;none;loisir;
Thierry Marchand;M;1955-10-27;73.2;178;tribord;loisir;
Laurent Aubert;M;1951-03-08;74.6;175;none;loisir;
Quentin Dubois;M;1987-03-14;85.5;187;tribord;loisir;
Raphael Royer;M;1972-12-17;83.1;184;tribord;loisir;
Yves Navarro;M;1989-05-22;83.7;182;none;loisir;
Henri Muller;M;1978-08-25;74.1;175;none;loisir;
Julien Duval;M;1982-08-23;60.9;166;tribord;loisir;
Philippe Robin;M;1990-01-02;83.7;191;tribord;loisir;
Hugo Aubry;M;1955-09-20;71.9;172;babord;loisir;
Adam Guillaume;M;1980-07-02;74.5;172;none;loisir;
Nathan Charpentier;M;1982-10-31;84.7;180;tribord;loisir;
Thomas Jean;M;1986-07-02;77.3;177;none;loisir;
Nathan Vidal;M;1980-04-18;77.9;179;tribord;loisir;
Philippe Berger;M;1982-02-26;66.2;170;tribord;loisir;
Philippe Guillot;M;1984-06-05;74.4;175;tribord;loisir;
Philippe Rolland;M;1973-01-25;69.7;180;babord;loisir;
Pierre Blanc;M;1959-11-02;65.9;169;tribord;loisir;
Thierry Guillaume;M;1982-08-01;78.9;186;tribord;loisir;
Simon Chevalier;M;1955-09-08;76.0;173;tribord;loisir;
Daniel Bernard;M;1950-09-27;86.1;181;tribord;loisir;
Didier Guillaume;M;1952-06-03;72.4;176;tribord;loisir;
Olivier Charpentier;M;1968-08-05;87.9;177;babord;loisir;
